x	y
30000.69531	29958.31445
30001.24023	29988.97852
30001.30664	29913.07031
30001.33398	29943.03711
30002.18359	29300.97852
30002.625	28091.7207
30003.01367	29972.13672
30003.20508	28081.28906
30003.40234	29357.24023
30003.49805	28578.63086
30004.35742	28625.40625
30004.37891	28639.20703
30004.66406	29954.48047
30004.73438	28000.64648
30006.51563	29150.76367
30006.73242	29946.08398
30006.8418	29958.38672
30007.40039	29981.40039
30007.5	28710.46094
30007.97461	28652.44531
30008.52344	29182.1582
30009.14648	28694.55273
30009.95898	28765.38281
30010.16602	29307.29883
30010.99414	29350.51563
30011.43359	29954.41992
30011.98047	29992.67383
30012.43164	28059.7832
30012.99805	29962.7207
30013.03711	28010.86328
30013.26563	29096.78906
30013.29297	28638.58203
30014.05664	28035.55469
30014.16016	28780.4043
30014.45508	28691.18555
30015.18164	29048.48828
30015.33203	29941.10156
30015.66797	28817.4668
30016.10742	28736.25781
30016.51367	29990.61133
30017.55078	28990.09375
30017.84766	28399.28711
30018.01367	28954.76758
30019.01953	28761.86328
30019.01953	28693.01367
30019.33008	28248.86133
30019.37305	29421.96094
30020.49609	28302.86523
30020.92969	29964.48633
30021.05469	29916.80273
30021.36133	29453.45313
30021.80859	29343.3418
30022.6543	28682.66602
30023.00781	29036.69727
30023.08398	29954.43555
30023.20703	29359.05664
30023.50781	29834.75781
30024.02148	28748.18164
30024.19727	28626.5293
30024.25781	28241.50195
30024.58008	28630.39063
30024.63867	28771.07227
30025.53711	29534.38281
30025.55859	29376.83203
30025.6582	28901.92773
30025.95508	29011.0957
30026.10742	29764.25781
30026.1875	28172.50977
30026.7832	28988.50781
30027.03906	28684.91992
30027.14258	28018.26367
30027.3457	28714.14063
30027.83203	29164.93164
30028.6875	28096.82813
30029.54492	28128.44727
30029.7832	29952.70508
30029.81836	28735.37891
30030.13672	28985.70508
30030.28906	28236.11523
30030.38867	29041.97852
30030.99609	28070.19922
30031.25195	28619.35938
30032.03125	29306.32617
30032.18359	28903.77539
30032.25195	28700.17578
30032.42578	28911.9082
30032.48438	29975.625
30032.56836	28587.20898
30032.90625	29211.75781
30033.53711	28156.86523
30033.97266	29016.5918
30034.60547	29004.98242
30034.80859	28720.51758
30035.14648	29007.71484
30035.25	28992.83594
30035.79492	28144.88477
30035.81641	29974.55469
30036.77539	29935.55859
30036.91992	28983.10156
30037.30859	29966.15625
30038.57422	28916.73633
30038.60742	29367.15625
30039.53516	28982.44531
30039.97266	28153.56836
30040.30664	28079.55664
30040.58789	28907.21094
30042.2168	28720.91992
30042.77344	28977.56445
30043.06641	29027.5
30043.2207	28302.25195
30043.40625	29829.05664
30043.54297	28323.57813
30043.94922	28732.06445
30044.21875	29952.69531
30044.37695	28405.70898
30044.81445	28920.66797
30044.93164	28917.97852
30045.89648	28164.53906
30046.02148	28995.92188
30046.28711	28737.14258
30046.31641	28138.46875
30046.76563	28158.38477
30047.04883	28158.10742
30047.70703	28448.15625
30047.7793	28107.46289
30048.92188	28120.44922
30049.30469	28170.92383
30049.78711	28162.41602
30051.01953	29012.33789
30051.10742	28064.45703
30051.38086	29048.55664
30051.51758	29021.68164
30052.30859	29167.18555
30052.60742	29025.37305
30053.30469	28799.61523
30055.06055	29065.35352
30055.11523	29015.16211
30056.00781	28436.25781
30056.35938	28257.43359
30057.80664	28448.05664
30058.21094	28214.00781
30058.60742	29551.35742
30058.60742	29117.85742
30059.25977	28318.25977
30059.50391	28173.85938
30059.70703	28818.65625
30059.90625	29876.45703
30060.90625	29053.15625
30061.35742	29445.3125
30062.60742	29817.35742
30062.88086	28110.85547
30063.00781	29315.35742
30063.26367	29043.35352
30063.83203	28392.77344
30064.35742	28184.2832
30064.50781	29231.15625
30064.65625	29337.24219
30064.74609	29954.43945
30064.95703	29954.75195
30065.10742	29537.15625
30066.90625	29160.95703
30067.29883	28908.65234
30067.42773	29170.9043
30067.92578	28448.5957
30068.10938	28376.96094
30070.70703	29025.05664
30070.97656	29392.07422
30071.15234	28392.25195
30072.48047	28509.70508
30072.76953	29233.79102
30073.79883	28144.55273
30074.86133	29039.56055
30075.20703	29846.25781
30075.50781	29441.15625
30076.70703	29385.45703
30077.23633	29027.14844
30077.90625	29769.55664
30078.10742	28048.85742
30078.21289	28214.35547
30078.59766	28489.32813
30079.23828	28481.35742
30079.31641	29342.74219
30079.76563	28168.28711
30079.86133	28211.64063
30079.90625	29498.85742
30080.50781	29190.95703
30080.80469	29110.56836
30080.91406	29099.16016
30081.01953	29094.62305
30081.90625	29356.35742
30082.57617	28180.68555
30083.90625	29682.15625
30084.60352	28551.01172
30084.60742	29741.65625
30084.64648	29046.48828
30084.80664	29345.95703
30085.21484	29085.4043
30085.80664	29649.85742
30086.73242	28090.52344
30087.00586	28256.94531
30087.00781	29641.75781
30087.14648	28025.59961
30087.26953	28123.51367
30087.89453	28782.88867
